Rk,Player,Tm,FantPos,PPR,-9999
1,Jonathan Taylor*,IND,RB,362.3,TaylJo02
2,Christian McCaffrey*+,SFO,RB,416.6,McCaCh01
3,Bijan Robinson*+,ATL,RB,370.8,RobiBi01
4,Jahmyr Gibbs*,DET,RB,366.9,GibbJa01
5,Puka Nacua*+,LAR,WR,375.0,NacuPu00
6,Jaxon Smith-Njigba*+,SEA,WR,359.9,SmitJa06
7,James Cook*,BUF,RB,302.2,CookJa01
8,Derrick Henry,BAL,RB,279.5,HenrDe00
9,De'Von Achane*,MIA,RB,322.8,AchaDe00
10,Josh Allen*,BUF,QB,364.6,AlleJo02
11,Amon-Ra St. Brown*,DET,WR,324.0,StxxAm00
12,Trey McBride*+,ARI,TE,315.9,McBrTr01
13,George Pickens*,DAL,WR,291.9,PickGe00
14,Drake Maye*,NWE,QB,352.0,MayeDr00
15,Matthew Stafford*+,LAR,QB,350.4,StafMa00
16,Kyren Williams,LAR,RB,263.3,WillKy02
17,Ja'Marr Chase*+,CIN,WR,313.6,ChasJa00
18,Travis Etienne,JAX,RB,253.9,EtieTr00
19,Trevor Lawrence,JAX,QB,338.2,LawrTr00
20,Chase Brown,CIN,RB,282.6,BrowCh10
21,Javonte Williams,DAL,RB,242.8,WillJa10
22,Josh Jacobs,GNB,RB,237.1,JacoJo01
23,Chris Olave,NOR,WR,268.0,OlavCh00
24,D'Andre Swift,CHI,RB,228.6,SwifDA00
25,Saquon Barkley,PHI,RB,232.3,BarkSa00
26,Davante Adams,LAR,WR,222.9,AdamDa01
27,Caleb Williams,CHI,QB,318.7,WillCa03
28,Dak Prescott*,DAL,QB,313.8,PresDa01
29,Ashton Jeanty,LVR,RB,245.1,JeanAs00
30,Zay Flowers*,BAL,WR,243.3,FlowZa00
31,Nico Collins*,HOU,WR,226.2,CollNi00
32,Jameson Williams,DET,WR,219.9,WillJa11
33,Tee Higgins,CIN,WR,211.6,HiggTe00
34,Bo Nix,DEN,QB,304.8,NixxBo00
35,Rico Dowdle,CAR,RB,216.3,DowdRi01
36,Jaylen Warren,PIT,RB,217.1,WarrJa01
37,Courtland Sutton*,DEN,WR,219.7,SuttCo00
38,Jalen Hurts,PHI,QB,299.1,HurtJa00
39,Jared Goff,DET,QB,297.1,GoffJa00
40,Michael Wilson,ARI,WR,220.6,WilsMi02
41,A.J. Brown,PHI,WR,220.3,BrowAJ00
42,Breece Hall,NYJ,RB,207.7,HallBr03
43,TreVeyon Henderson,NWE,RB,206.2,HendTr02
44,Tetairoa McMillan,CAR,WR,211.4,McMiTe00
45,Dallas Goedert,PHI,TE,185.1,GoedDa00
46,Kyle Pitts,ATL,TE,210.8,PittKy00
47,Alec Pierce,IND,WR,183.3,PierAl00
48,Drake London,ATL,WR,201.9,LondDr00
49,Hunter Henry,NWE,TE,178.8,HenrHu00
50,Justin Herbert*,LAC,QB,286.9,HerbJu00
51,Emeka Egbuka,TAM,WR,195.7,EgbuEm01
52,Travis Kelce*,KAN,TE,193.2,KelcTr00
53,Patrick Mahomes,KAN,QB,285.7,MahoPa00
54,Zach Charbonnet,SEA,RB,181.4,CharZa00
55,Kenneth Walker III,SEA,RB,191.9,WalkKe00
56,Jaylen Waddle,MIA,WR,194.1,WaddJa00
57,RJ Harvey,DEN,RB,206.6,HarvRJ00
58,Harold Fannin,CLE,TE,186.4,FannHa00
59,D.K. Metcalf,PIT,WR,187.2,MetcDK00
60,Parker Washington,JAX,WR,184.7,WashPa01
61,Tyler Warren,IND,TE,188.5,WarrTy00
62,Brock Bowers*,LVR,TE,176.2,BoweBr01
63,CeeDee Lamb,DAL,WR,200.9,LambCe00
64,Wan'Dale Robinson,NYG,WR,217.9,RobiWa01
65,Stefon Diggs,NWE,WR,210.3,DiggSt00
66,DeVonta Smith,PHI,WR,201.8,SmitDe07
67,Michael Pittman Jr.,IND,WR,202.4,PittMi01
68,Tony Pollard,TEN,RB,185.8,PollTo00
69,Colston Loveland,CHI,TE,165.1,LoveCo00
70,Quentin Johnston,LAC,WR,171.2,JohnQu02
71,D.J. Moore,CHI,WR,170.2,MoorD.00
72,Jake Ferguson,DAL,TE,188.1,FergJa00
73,George Kittle*,SFO,TE,161.5,KittGe00
74,Jauan Jennings,SFO,WR,173.3,JennJa00
75,Baker Mayfield,TAM,QB,271.9,MayfBa00
76,Jaxson Dart,NYG,QB,241.6,DartJa00
77,Jordan Love,GNB,QB,235.1,LoveJo03
78,Sam Darnold*,SEA,QB,235.4,DarnSa00
79,Jacoby Brissett,ARI,QB,227.4,BrisJa00
80,Daniel Jones,IND,QB,226.4,JoneDa05
81,Aaron Rodgers,PIT,QB,227.1,RodgAa00
82,Bryce Young,CAR,QB,218.0,YounBr01
83,Lamar Jackson,BAL,QB,214.9,JackLa00
84,C.J. Stroud,HOU,QB,208.5,StroCJ00
85,Cam Ward,TEN,QB,186.7,WardCa00
86,Brock Purdy,SFO,QB,177.4,PurdBr00
87,Geno Smith,LVR,QB,173.9,SmitGe00
88,Tua Tagovailoa,MIA,QB,160.7,TagoTu00
89,Tyler Shough,NOR,QB,158.0,ShouTy00
90,Kenneth Gainwell,PIT,RB,221.3,GainKe00
91,Joe Flacco,2TM,QB,146.7,FlacJo00
92,Rhamondre Stevenson,NWE,RB,178.8,StevRh00
93,Quinshon Judkins,CLE,RB,169.8,JudkQu00
94,Justin Fields,NYJ,QB,142.7,FielJu00
95,David Montgomery,DET,RB,166.9,MontDa01
96,Joe Burrow,CIN,QB,134.5,BurrJo01
97,Jacory Croskey-Merritt,WAS,RB,140.3,CrosJa00
98,Mac Jones,SFO,QB,130.0,JoneMa05
99,Kyle Monangai,CHI,RB,146.7,MonaKy00
100,Kareem Hunt,KAN,RB,145.4,HuntKa00
101,Woody Marks,HOU,RB,151.1,MarkWo00
102,Marcus Mariota,WAS,QB,125.5,MariMa01
103,J.J. McCarthy,MIN,QB,125.4,McCaJJ00
104,Tyrone Tracy Jr.,NYG,RB,160.8,TracTy00
105,Michael Penix,ATL,QB,120.3,PeniMi00
106,Justin Jefferson,MIN,WR,201.5,JeffJu00
107,Deebo Samuel,WAS,WR,188.2,SamuDe00
108,Jordan Mason,MIN,RB,128.9,MasoJo00
109,Ladd McConkey,LAC,WR,180.9,McCoLa00
110,Blake Corum,LAR,RB,122.2,CoruBl00
111,Jayden Daniels,WAS,QB,114.3,DaniJa02
112,Troy Franklin,DEN,WR,177.1,FranTr00
113,Romeo Doubs,GNB,WR,165.4,DoubRo00
114,Tyler Allgeier,ATL,RB,123.0,AllgTy00
115,Bucky Irving,TAM,RB,138.5,IrviBu00
116,J.K. Dobbins,DEN,RB,115.9,DobbJK00
117,Tre Tucker,LVR,WR,161.7,TuckTr00
118,Kirk Cousins,ATL,QB,103.5,CousKi00
119,Omarion Hampton,LAC,RB,135.7,HampOm00
120,Cam Skattebo,NYG,RB,127.7,SkatCa00
121,Juwan Johnson,NOR,TE,179.9,JohnJu02
122,Rachaad White,TAM,RB,143.0,WhitRa01
123,Keenan Allen,LAC,WR,182.7,AlleKe00
124,Rome Odunze,CHI,WR,146.1,OdunRo00
125,Kimani Vidal,LAC,RB,117.9,VidaKi00
126,Jakobi Meyers,2TM,WR,175.8,MeyeJa01
127,Spencer Rattler,NOR,QB,99.1,RattSp00
128,Rashid Shaheed*,2TM,WR,156.6,ShahRa00
129,Rashee Rice,KAN,WR,150.1,RiceRa01
130,Christian Watson,GNB,WR,132.4,WatsCh00
131,Dalton Schultz,HOU,TE,177.7,SchuDa00
132,AJ Barner,SEA,TE,147.3,BarnAJ00
133,Chuba Hubbard,CAR,RB,125.4,HubbCh01
134,Khalil Shakir,BUF,WR,166.4,ShakKh00
135,Jordan Addison,MIN,WR,135.1,AddiJo00
136,Kayshon Boutte,NWE,WR,124.1,BoutKa00
137,Aaron Jones,MIN,RB,118.7,JoneAa00
138,Devin Singletary,NYG,RB,108.8,SingDe00
139,Brian Thomas,JAX,WR,138.8,ThomBr06
140,Marquise Brown,KAN,WR,137.7,BrowMa04
141,Jayden Higgins,HOU,WR,129.5,HiggJa00
142,Chris Rodriguez,WAS,RB,92.0,RodrCh00
143,Marvin Harrison Jr.,ARI,WR,127.8,HarrMa09
144,Dalton Kincaid,BUF,TE,126.1,KincDa00
145,Colby Parkinson,LAR,TE,129.8,ParkCo02
146,Tucker Kraft,GNB,TE,117.2,KrafTu00
147,Shedeur Sanders,CLE,QB,84.9,SandSh00
148,Mark Andrews,BAL,TE,131.0,AndrMa00
149,Theo Johnson,NYG,TE,127.8,JohnTh00
150,Sean Tucker,TAM,RB,91.4,TuckSe00
151,Oronde Gadsden II,LAC,TE,131.4,GadsOr01
152,Luther Burden,CHI,WR,127.9,BurdLu00
153,Emanuel Wilson,GNB,RB,94.5,WilsEm00
154,Bhayshul Tuten,JAX,RB,88.6,TuteBh00
155,Chimere Dike*+,TEN,WR,126.1,DikeCh00
156,Josh Downs,IND,WR,136.4,DownJo00
157,Kyler Murray,ARI,QB,77.8,MurrKy00
158,Elic Ayomanor,TEN,WR,116.5,AyomEl00
159,Zach Ertz,WAS,TE,126.4,ErtzZa00
160,Ty Johnson,BUF,RB,100.3,JohnTy02
161,Terry McLaurin,WAS,WR,114.2,McLaTe00
162,Nick Chubb,HOU,RB,88.3,ChubNi00
163,Ryan Flournoy,DAL,WR,114.0,FlouRy00
164,Pat Freiermuth,PIT,TE,113.6,FreiPa00
165,Jalen Nailor,MIN,WR,100.7,NailJa00
166,Brenton Strange,JAX,TE,118.0,StraBr00
167,Jerry Jeudy,CLE,WR,120.7,JeudJe00
168,Zonovan Knight,ARI,RB,92.9,KnigZo00
169,Malik Washington,MIA,WR,116.7,WashMa00
170,Dillon Gabriel,CLE,QB,70.1,GabrDi00
171,Carson Wentz,MIN,QB,70.3,WentCa00
172,Cooper Kupp,SEA,WR,116.3,KuppCo00
173,Davis Mills,HOU,QB,68.6,MillDa02
174,Alvin Kamara,NOR,RB,100.7,KamaAl00
175,Dawson Knox,BUF,TE,103.7,KnoxDa00
176,Chigoziem Okonkwo,TEN,TE,124.0,OkonCh00
177,Isiah Pacheco,KAN,RB,87.3,PachIs00
178,Xavier Worthy,KAN,WR,109.9,WortXa00
179,Mack Hollins,NWE,WR,113.4,HollMa00
180,Sam LaPorta,DET,TE,106.9,LaPoSa01
181,Tyjae Spears,TEN,RB,111.7,SpeaTy00
182,Michael Carter,ARI,RB,99.0,CartMi03
183,DeMario Douglas,NWE,WR,95.8,DougDe00
184,Darren Waller,MIA,TE,88.7,WallDa01
185,Keon Coleman,BUF,WR,102.4,ColeKe02
186,Tez Johnson,TAM,WR,92.4,JohnTe03
187,Garrett Wilson,NYJ,WR,99.5,WilsGa00
188,Xavier Hutchinson,HOU,WR,98.0,HutcXa00
189,Cade Otton,TAM,TE,122.2,OttoCa00
190,T.J. Hockenson,MIN,TE,112.8,HockTJ00
191,Darius Slayton,NYG,WR,98.8,SlayDa01
192,Tyquan Thornton,KAN,WR,80.8,ThorTy00
193,Samaje Perine,CIN,RB,77.9,PeriSa00
194,Isaac TeSlaa,DET,WR,75.9,TeSlIs00
195,Tyrod Taylor,NYJ,QB,59.5,TaylTy00
196,Jake Tonges,SFO,TE,93.3,TongJa00
197,KaVontae Turpin,DAL,WR,84.5,TurpKa00
198,Jalen Coker,CAR,WR,90.4,CokeJa01
199,Andrei Iosivas,CIN,WR,89.9,IosiAn00
200,Marvin Mims,DEN,WR,93.0,MimsMa00
201,Calvin Austin III,PIT,WR,86.2,AustCa00
202,Kendrick Bourne,SFO,WR,92.1,BourKe00
203,Mike Evans,TAM,WR,84.8,EvanMi00
204,Adonai Mitchell,2TM,WR,87.9,MitcAd00
205,Brian Robinson Jr.,SFO,RB,62.5,RobiBr01
206,Dylan Sampson,CLE,RB,87.6,SampDy00
207,Ray Davis+,BUF,RB,64.1,DaviRa04
208,Xavier Legette,CAR,WR,89.3,LegeXa00
209,Evan Engram,DEN,TE,102.8,EngrEv00
210,David Njoku,CLE,TE,86.3,NjokDa00
211,Ricky Pearsall,SFO,WR,88.6,PearRi00
212,Tory Horton,SEA,WR,65.1,HortTo00
213,Tank Bigsby,2TM,RB,53.8,BigsTa00
214,Malik Willis,GNB,QB,51.2,WillMa12
215,Isaiah Davis,NYJ,RB,71.2,DaviIs00
216,Chris Godwin,TAM,WR,83.0,GodwCh00
217,Darnell Mooney,ATL,WR,82.3,MoonDa00
218,Russell Wilson,NYG,QB,49.8,WilsRu00
219,Jake Browning,CIN,QB,48.7,BrowJa08
220,Cole Kmet,CHI,TE,78.7,KmetCo00
221,Gunnar Helm,TEN,TE,91.7,HelmGu00
222,Jeremy McNichols,WAS,RB,72.7,McNiJe00
223,Ollie Gordon,MIA,RB,54.1,GordOl00
224,Jonnu Smith,PIT,TE,85.2,SmitJo01
225,Greg Dortch,ARI,WR,75.1,DortGr01
226,Tyler Higbee,LAR,TE,71.1,HigbTy00
227,Keaton Mitchell,BAL,RB,55.4,MitcKe01
228,Dontayvion Wicks,GNB,WR,75.8,WickDo00
229,Olamide Zaccheaus,CHI,WR,84.8,ZaccOl01
230,Emari Demercado,ARI,RB,58.3,DemeEm00
231,DeAndre Hopkins,BAL,WR,67.0,HopkDe00
232,Mason Taylor,NYJ,TE,88.9,TaylMa02
233,Pat Bryant,DEN,WR,74.8,BryaPa00
234,Justice Hill,BAL,RB,65.2,HillJu00
235,Mike Gesicki,CIN,TE,70.7,GesiMi00
236,Devin Neal,NOR,RB,60.0,NealDe00
237,Kalif Raymond,DET,WR,66.8,RaymKa00
238,Sterling Shepard,TAM,WR,82.0,ShepSt00
239,Jaylen Wright,MIA,RB,48.2,WrigJa04
240,Jaylin Noel,HOU,WR,68.4,NoelJa00
241,Darnell Washington,PIT,TE,73.4,WashDa03
242,Jameis Winston,NYG,QB,43.3,WinsJa00
243,Daniel Bellinger,NYG,TE,59.6,BellDa00
244,Noah Fant,CIN,TE,74.8,FantNo00
245,Terrance Ferguson,LAR,TE,52.1,FergTe00
246,Matthew Golden,GNB,WR,70.0,GoldMa02
247,Van Jefferson,TEN,WR,70.0,JeffVa00
248,Tyler Lockett,2TM,WR,73.1,LockTy00
249,JuJu Smith-Schuster,KAN,WR,73.5,SmitJu00
250,Devaughn Vele,NOR,WR,66.3,VeleDe00
251,Tyler Huntley,BAL,QB,40.1,HuntTy01
252,Luke McCaffrey,WAS,WR,51.3,McCaLu00
253,Josh Oliver,MIN,TE,55.0,OlivJo00
254,Davis Allen,LAR,TE,62.8,AlleDa02
255,Malik Davis,DAL,RB,40.6,DaviMa02
256,Tre Harris,LAC,WR,69.4,HarrTr03
257,Michael Mayer,LVR,TE,73.8,MayeMi00
258,John Metchie,2TM,WR,71.9,MetcJo00
259,Malik Nabers,NYG,WR,57.1,NabeMa00
260,Cedric Tillman,CLE,WR,60.0,TillCe01
261,Kyle Williams,NWE,WR,49.2,WillKy03
262,Austin Hooper,NWE,TE,59.3,HoopAu00
263,Brashard Smith,KAN,RB,63.3,SmitBr09
264,Isaiah Bond,CLE,WR,54.7,BondIs00
265,Greg Dulcich,MIA,TE,62.8,DulcGr00
266,Jackson Hawes,BUF,TE,52.7,HaweJa00
267,Tim Patrick,JAX,WR,51.7,PatrTi00
268,Tommy Tremble,CAR,TE,63.9,TremTo00
269,Rashod Bateman,BAL,WR,55.4,BateRa00
270,Audric Estime,NOR,RB,48.1,EstiAu00
271,Travis Hunter,JAX,WR,63.8,HuntTr00
272,Demarcus Robinson,SFO,WR,58.2,RobiDe01
273,Isaiah Likely,BAL,TE,61.7,LikeIs00
274,Tyreek Hill,MIA,WR,53.5,HillTy00
275,Kyle Juszczyk*+,SFO,FB,57.0,JuszKy00
276,Jaylin Lane,WAS,WR,49.2,LaneJa00
277,Isaiah Williams,NYJ,WR,58.7,WillIs03
278,Jahan Dotson,PHI,WR,50.2,DotsJa00
279,Quinn Ewers,MIA,QB,33.2,EwerQu00
280,Philip Rivers,IND,QB,31.7,RivePh00
281,Devontez Walker,BAL,WR,37.6,WalkDe01
282,Taysom Hill,NOR,TE,41.8,HillTa00
283,Tyrell Shavers,BUF,WR,45.5,ShavTy00
284,David Sills V,ATL,WR,49.1,SillDa01
285,Mitchell Trubisky,BUF,QB,31.1,TrubMi00
286,Dyami Brown,JAX,WR,49.7,BrowDy00
287,Christian Kirk,HOU,WR,57.9,KirkCh01
288,Josh Palmer,BUF,WR,52.3,PalmJo00
289,Jayden Reed,GNB,WR,48.5,ReedJa03
290,Calvin Ridley,TEN,WR,47.3,RidlCa00
291,Xavier Smith,LAR,WR,48.3,SmitXa00
292,Mitchell Evans,CAR,TE,48.2,EvanMi01
293,Tanner Hudson,CIN,TE,47.8,HudsTa00
294,Riley Leonard,IND,QB,29.0,LeonRi02
295,Brandin Cooks,2TM,WR,51.9,CookBr00
296,Brady Cook,NYJ,QB,28.5,CookBr03
297,Elijah Higgins,ARI,TE,58.1,HiggEl00
298,Kendre Miller,NOR,RB,33.3,MillKe01
299,Chris Moore,WAS,WR,38.6,MoorCh00
300,Jalen Tolbert,DAL,WR,46.3,TolbJa00
301,Jaleel McLaughlin,DEN,RB,31.4,McLaJa00
302,Roman Wilson,PIT,WR,38.6,WilsRo02
303,Tyler Johnson,NYJ,WR,37.7,JohnTy00
304,Charlie Kolar,BAL,TE,36.2,KolaCh00
305,Adam Trautman,DEN,TE,45.5,TrauAd00
306,Tutu Atwell,LAR,WR,31.2,AtweTu00
307,James Conner,ARI,RB,33.3,ConnJa00
308,Luke Musgrave,GNB,TE,49.2,MusgLu00
309,Ja'Tavion Sanders,CAR,TE,54.0,SandJa01
310,Zavier Scott,MIN,RB,39.2,ScotZa00
311,Connor Heyward,PIT,TE,27.4,HeywCo00
312,Josh Johnson,WAS,QB,24.4,JohnJo05
313,Hunter Luepke,DAL,RB,37.0,LuepHu00
314,Gunner Olszewski,NYG,WR,33.8,OlszGu00
